"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"SS 220","BARB","BARB (SS 220)","","SUBMARINE","SS 220","05220","Disposed of, by Navy Sale","","04/01/1975","","","","","","","","","","","","","","","10/15/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"SSN 596","BARB","BARB (SSN 596)","(ex - POLLACK)","SUBMARINE (NUCLEAR-POWERED)","SSN 594","05059","Disposed of by submarine recycling","","03/14/1996","","","","","","","08/24/1963","","","","12/20/1989","02/12/1962","","","12/20/1989","","","","","","","","","","","","","Steam Turbines (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","05/24/2022"
"SSN 804","BARB","BARB (SSN 804)","","SUBMARINE (NUCLEAR-POWERED)","SSN 774","","Under construction","","09/02/2020","","","","","HUNTINGTON INGALLS INDUSTRIES NEWPORT NEWS SHIPBUILDING","12/02/2019","","","","","","","","","","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","","General Dynamics Electric Boat","","PMS 450","","10/14/2021"
"SS 580","BARBEL","BARBEL (SS 580)","","SUBMARINE","SS 580","05603","Disposed of in support of Fleet training exercise","","01/30/2001","","","","","Naval Shipyard Portsmouth","08/24/1955","01/17/1959","05/18/1956","","07/19/1958","12/04/1989","06/04/1959","","","01/17/1990","219 ft","219 ft","29 ft","","28 ft","","1744 tons","2146 tons","402 tons","Steel hull, steel superstructure.","1","","Diesel Electric","10","69","US NAVY","","","","","09/29/2015"
"LPR 57","BARBER","BARBER (LPR 57)","(ex - DE 161, APD 57)","AMPHIBIOUS TRANSPORT, SMALL","LPR 0","02861","Stricken, to be disposed of by Navy sale","","05/12/1968","","X","","","Naval Shipyard Norfolk","01/10/1942","10/10/1943","04/27/1943","","05/20/1943","05/22/1946","10/25/1943","","","11/27/1968","306 ft","300 ft","37 ft","36 ft","14 ft","","","","","Steel hull, steel superstructure.","2","","","","","MEXICO","","","","","09/29/2015"
"FF 1088","BARBEY","BARBEY (FF 1088)","(ex - DE 1088)","FRIGATE","FF 1052","20066","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","09/29/1999","","","","","Avondale Industries","08/25/1966","11/11/1972","02/05/1971","","12/04/1971","03/20/1992","10/15/1972","","","01/11/1995","438 ft","415 ft","47 ft","47 ft","26 ft","17 ft","3214 tons","4195 tons","981 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","22","261","TAIWAN","","","","","01/23/2006"
"YTM 495","BARBONCITO","BARBONCITO (YTM 495)","(ex - YTB 495)","MEDIUM HARBOR TUG (S-P)","YTM 192","13495","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","08/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"LST 1195","BARBOUR COUNTY","BARBOUR COUNTY (LST 1195)","","TANK LANDING SHIP","LST 1179","20221","Disposed of in support of Fleet training exercise","","04/06/2004","","","","","General Dynamics, National Steel & Shipbuilding Corp.","07/15/1966","02/12/1972","08/15/1970","","05/15/1971","03/30/1992","02/01/1972","","","07/13/2001","523 ft","500 ft","70 ft","70 ft","18 ft","19 ft","4982 tons","8585 tons","3603 tons","Steel hull, aluminum superstructure.","2","","Diesel Engines","32","576","US NAVY","","","","","08/21/2019"
"DDG 6","BARNEY","BARNEY (DDG 6)","","GUIDED MISSILE DESTROYER","DDG 2","04672","Disposed of by Dismantling (Scrapping/Recycling)","","02/22/2006","","","","","New York Shipbuilding Corp.","03/28/1957","08/11/1962","08/10/1959","","12/10/1960","12/17/1990","07/31/1962","","","11/20/1992","","","","","","","","","","","","","Steam Turbines","","","","","","","","12/12/2017"
"LST 1197","BARNSTABLE COUNTY","BARNSTABLE COUNTY (LST 1197)","","TANK LANDING SHIP","LST 1179","20223","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","04/27/2000","","","","","General Dynamics, National Steel & Shipbuilding Corp.","07/15/1966","05/27/1972","12/19/1970","","10/02/1971","06/29/1994","05/01/1972","","","07/23/2002","523 ft","500 ft","70 ft","70 ft","18 ft","19 ft","4945 tons","8553 tons","3608 tons","Steel hull, aluminum superstructure.","2","","Diesel Engines","14","210","SPAIN","","","","","08/21/2019"
"APD 39","BARR","BARR (APD 39)","(ex - DE 576)","HIGH SPEED TRANSPORT","APD 37","53576","Stricken, to be disposed of in support of Fleet training exercise","","03/23/1963","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","08/07/1942","02/15/1944","11/05/1943","","12/28/1943","07/12/1946","02/15/1944","","","06/01/1960","306 ft","","37 ft","","14 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","08/11/2010"
"AP 196","BARRETT","BARRETT (AP 196)","(ex - MC 2914)","TRANSPORT","AP 196","08296","Disposed of by Navy title transfer to the Maritime Administration","","04/01/1974","","","","","New York Shipbuilding Corp.","08/18/1948","","06/01/1949","","06/27/1950","","05/21/1952","","","07/01/1973","534 ft","503 ft","73 ft","73 ft","27 ft","","6720 tons","17600 tons","10880 tons","Steel hull, steel superstructure.","1","","Turbine Reduction Gears","410","1750","","","","","CONTRACT WAS AWARDED JUN 07 TO BAY BRIDGE ENT, CHESAPEAKE, VA TO DISPOSE OF BARRET BY RECYCLING.","07/20/2007"
"APD 29","BARRY","BARRY (APD 29)","(ex - DD 248)","HIGH SPEED TRANSPORT","DD 186","","Disposed of, destroyed by enemy action with the Japanese in World War II","","05/26/1945","","","","","New York Shipbuilding Corp.","12/29/1917","12/28/1920","07/26/1919","","10/28/1920","06/21/1945","12/28/1920","","","","314 ft","","32 ft","","10 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","03/20/2007"
"DD 933","BARRY","BARRY (DD 933)","","DESTROYER","DD 931","52193","Disposed of by Dismantling (Scrapping/Recycling)","","02/11/2022","","","","","Bath Iron Works Corp.","12/15/1952","07/09/1956","03/15/1954","","10/01/1955","11/05/1982","08/31/1956","","","01/31/1983","418 ft","407 ft","45 ft","44 ft","20 ft","15 ft","2800 tons","3960 tons","1160 tons","Steel hull, steel superstructure.","2","","Steam Turbines","22","315","","","","","International Shipbreaking Ltd in Brownsville, TX","03/08/2022"
"DDG 52","BARRY","USS BARRY (DDG 52)","(ex - JOHN BARRY, BARRY)","GUIDED MISSILE DESTROYER","DDG 51","21660","Active, in commission","U.S. PACIFIC FLEET","12/12/1992","YOKOSUKA, JAPAN","","","Battle Force","Ingalls Shipbuilding Corp.","05/26/1987","12/12/1992","02/26/1990","","05/10/1991","","10/19/1992","","","","505 ft","466 ft","66 ft","59 ft","31 ft","22 ft","6830 tons","8960 tons","2130 tons","Steel hull, steel superstructure.","2","","Gas Turbines","26","330","US NAVY","General Dynamics Bath Iron Works","","PMS 407","","08/26/2021"
"AGOR 13","BARTLETT","BARTLETT (AGOR 13)","","OCEANOGRAPHIC RESEARCH SHIP","AGOR 3","05842","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","07/26/1993","","","","","NORTHWEST MARINE IRON WKS","07/12/1965","","11/18/1965","","05/24/1966","","03/31/1969","","","08/30/1993","","","","","","","","","","","","","Diesel Electric","","","MOROCCO","","","","","02/18/1999"
"DD 824","BASILONE","BASILONE (DD 824)","(ex - DDE 824)","DESTROYER","DD 710","52124","Disposed of in support of Fleet training exercise","","04/01/1982","","","","","Consolidated Steel Corp. of Texas","","07/26/1949","07/07/1945","","12/21/1945","","07/26/1949","","","11/01/1977","","","","","","","","","","Steel hull, steel superstructure.","","","","","","US NAVY","","","","","06/11/2002"
"APD 73","BASSETT","BASSETT (APD 73)","(ex - DE 672)","HIGH SPEED TRANSPORT","APD 37","53672","Disposed of via the Security Assistance Program (SAP) to a foreign government","","09/06/1968","","","","","Consolidated Steel Corp. of Texas","06/13/1944","02/23/1945","11/28/1943","","01/15/1944","11/26/1957","02/23/1945","","","05/01/1967","306 ft","300 ft","37 ft","36 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","06/09/2016"
"AVT 4","BATAAN","BATAAN (AVT 4)","(ex - BUFFALO (CL 99), CV 29, CVL 29)","AUXILIARY AIRCRAFT LANDING TRAINING SHIP","AVT 1","03599","Disposed of, by Navy Sale","","06/19/1961","","","","","New York Shipbuilding Corp.","12/16/1940","11/17/1943","08/31/1942","","08/01/1943","04/09/1954","11/17/1943","","","09/01/1959","623 ft","600 ft","109 ft","71 ft","26 ft","","11120 tons","16260 tons","5140 tons","Steel hull, steel superstructure.","4","","Steam Turbines","156","1372","","","","","","06/09/2016"
"LHD 5","BATAAN","USS BATAAN (LHD 5)","","AMPHIBIOUS ASSAULT SHIP (MULTI-PURPOSE)","LHD 1","21879","Active, in commission","U.S. ATLANTIC FLEET","09/20/1997","NORFOLK, VA","","","Battle Force","Ingalls Shipbuilding Corp.","12/20/1991","09/20/1997","06/22/1994","","03/15/1996","","06/23/1997","","","","847 ft","778 ft","118 ft","106 ft","28 ft","28 ft","27762 tons","41684 tons","13922 tons","Steel hull, aluminum superstructure.","2","","Geared Steam Turbines","102","1102","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 470","","06/14/2021"
"APD 47","BATES","BATES (APD 47)","(ex - DE 68)","HIGH SPEED TRANSPORT","APD 37","","Disposed of, destroyed by enemy action with the Japanese in World War II","","05/25/1945","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","02/10/1942","09/12/1943","03/29/1943","","06/06/1943","","09/12/1943","","","","306 ft","","37 ft","","14 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","03/20/2007"
"AGSS 310","BATFISH","BATFISH (AGSS 310)","(ex - ACOUPA (SS 310))","AUXILIARY RESEARCH SUBMARINE","AGSS 285","05310","Donated as a Museum and Memorial","","11/22/1971","","","","","Naval Shipyard Portsmouth","04/21/1942","08/21/1943","12/27/1942","","05/05/1943","","09/06/1943","","","11/01/1969","312 ft","307 ft","27 ft","","17 ft","","1470 tons","2040 tons","570 tons","Steel hull, steel superstructure.","2","","","10","68","","","","","BATFISH IS LOCATED AT THE MUSKOGEE WAR MEMORIAL PARK, MUSKOGEE, OK","03/05/2002"
"SSN 681","BATFISH","BATFISH (SSN 681)","","SUBMARINE (NUCLEAR-POWERED)","SSN 637","20044","Disposed of by submarine recycling","","11/22/2002","","","","","General Dynamics Electric Boat","06/25/1968","09/01/1972","02/09/1970","","10/09/1971","03/17/1999","09/01/1972","","","03/17/1999","292 ft","","32 ft","","29 ft","","4195 tons","4501 tons","306 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","14","98","","","","","","12/05/2019"
"SSN 689","BATON ROUGE","BATON ROUGE (SSN 689)","","SUBMARINE (NUCLEAR-POWERED)","SSN 688","20203","Disposed of by submarine recycling","","09/30/1997","","","","","Newport News Shipbuilding","01/08/1971","06/25/1977","11/18/1972","","04/26/1975","01/13/1995","06/10/1977","","","01/13/1995","","","","","","","","","","","1","","Steam Turbine (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","01/28/2016"
"YTT 10","BATTLE POINT","BATTLE POINT (YTT 10)","","TORPEDO TRIALS CRAFT (S-P)","YTT 9","40856","Active, in service","","11/11/1990","","","","","McDermott Shipyards","07/01/1987","","05/01/1988","","08/17/1989","","11/11/1990","","","","186 ft","","40 ft","","11 ft","","","1168 tons","","Steel hull, steel superstructure.","3","","Diesel Electric","","","NAVAL UNDERSEA WARFARE CENTER DIV., KEYPORT, WA (NAVUSEAWARCENDIV)","NSWC Caederock CCD, JEB - Little Creek","","PMS 325","","06/27/2018"
"DE 1025","BAUER","BAUER (DE 1025)","","ESCORT SHIP","DE 1021","54025","Disposed of, by Navy Sale","","09/01/1974","","","","","","","","","","","","","","","12/03/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/28/2001"
"DD 845","BAUSELL","BAUSELL (DD 845)","","DESTROYER","DD 710","52145","Disposed of in support of Fleet training exercise","","07/17/1987","","","","","Bath Iron Works Corp.","07/19/1940","02/07/1946","05/28/1945","","11/19/1945","","","","","05/30/1978","","","","","","","","","","Steel hull, steel superstructure.","","","Steam Turbines","","","US NAVY","","","","","03/13/2001"
"AGSS 318","BAYA","BAYA (AGSS 318)","(ex - SS 318)","AUXILIARY RESEARCH SUBMARINE","AGSS 285","05318","Disposed of, by Navy Sale","","09/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/25/2003"
"PG 99","BEACON","BEACON (PG 99)","(ex - PGM 99)","PATROL COMBATANT","PG 92","20092","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","10/30/1989","","","","","Tacoma Boatbuilding Co., Inc.","07/26/1967","","","","","","","","","07/01/1975","","","","","","","","","","","","","Diesel","","","GREECE","","","","","12/17/2001"
"DD 654","BEARSS","BEARSS (DD 654)","","DESTROYER","DD 448","04054","Disposed of, by Navy Sale","","11/01/1975","","","","","","","","","","","","","","","12/01/1974","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/17/2001"
"ATS 2","BEAUFORT","BEAUFORT (ATS 2)","","TOWING, SALVAGE, AND RESCUE SHIP","ATS 1","20153","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/29/1996","","","","","Brooke Marine Ltd.","09/26/1967","01/22/1972","02/19/1968","","12/01/1968","03/08/1996","01/01/1972","","","12/12/1996","283 ft","264 ft","50 ft","50 ft","17 ft","17 ft","2615 tons","3495 tons","880 tons","Steel hull, steel superstructure.","2","","Diesel Engines","8","102","KOREA","","","","","08/16/2016"
"ACS 10","BEAVER STATE","BEAVER STATE (ACS 10)","(ex - MORMACDRACO (MA 144), AMERICAN DRACO)","CRANE SHIP","ACS 9","21850","Disposed of by Navy title transfer to the Maritime Administration","","05/04/1997","","","","","Ingalls Shipbuilding Corp.","06/29/1962","","04/13/1964","","01/14/1965","","05/28/1965","","","","666 ft","635 ft","75 ft","75 ft","32 ft","33 ft","11720 tons","31500 tons","19780 tons","Steel hull, steel superstructure.","1","","Steam Turbines","","","","","","","VESSEL BEAVER STATE OFFICIALLY RENAMED PACIFIC TRACKER 01 APR 09.","06/27/2018"
"SS 319","BECUNA","BECUNA (SS 319)","(ex - SS 319, AGSS 319)","SUBMARINE","SS 342","05419","Donated as a Museum and Memorial","","06/12/1976","","","","","General Dynamics Electric Boat","04/10/1942","05/27/1944","04/29/1943","","01/30/1944","11/07/1969","05/26/1944","","","08/15/1973","312 ft","307 ft","27 ft","25 ft","17 ft","","1500 tons","2080 tons","580 tons","Steel hull, steel superstructure.","2","","","10","72","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","BECUNA IS LOCATED AT THE INDEPENDENCE SEAPORT MUSEUM, 211 SOUTH COLUMBUS BOULEVARD AND WALNUT STREET, PHILADELPHIA, PA. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 78002458 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 1/14/1986.","12/05/2019"
"LPR 127","BEGOR","BEGOR (LPR 127)","(ex - DE 711, APD 127)","AMPHIBIOUS TRANSPORT, SMALL","","53711","Disposed of, by Navy Sale","","11/16/1976","","","","","Defoe Shipbuilding Co.","10/09/1942","03/14/1945","03/06/1944","","05/25/1944","","03/14/1945","","","05/15/1975","306 ft","300 ft","37 ft","35 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/15/2002"
"APD 109","BELET","BELET (APD 109)","(ex - DE 599)","HIGH SPEED TRANSPORT","APD 87","53599","Disposed of, hull transfered to foreign government (not SAP)","","12/12/1963","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","08/07/1942","06/15/1945","01/26/1944","","03/03/1944","05/22/1946","06/15/1945","","","","306 ft","300 ft","37 ft","36 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","MEXICO","","","","","08/10/2010"
"APD 34","BELKNAP","BELKNAP (APD 34)","(ex - DD 251, AVD 8, DD 251)","HIGH SPEED TRANSPORT","DD 186","","Disposed of by Dismantling (Scrapping/Recycling)","","11/30/1945","","","","","Bethlehem Steel Co., SB Div, Quincy Yard, Quincy, MA","12/06/1917","04/28/1919","07/31/1918","","01/14/1919","08/04/1945","04/28/1919","","","","314 ft","","32 ft","","10 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"CG 26","BELKNAP","BELKNAP (CG 26)","(ex - DLG 26)","GUIDED MISSILE CRUISER","CG 26","52701","Disposed of in support of Fleet training exercise","","09/24/1998","","","","","Bath Iron Works Corp.","05/18/1961","11/07/1964","02/05/1962","","07/20/1963","02/15/1995","11/04/1964","","","12/15/1995","547 ft","524 ft","55 ft","54 ft","31 ft","21 ft","6667 tons","8957 tons","2290 tons","Steel hull, aluminum superstructure.","2","","Steam Turbine","64","546","US NAVY","","","","","10/30/2002"
"DD 587","BELL","BELL (DD 587)","","DESTROYER","DD 448","04587","Disposed of in support of Fleet training exercise","","01/01/1976","","","","","","","","","","","","","","","11/01/1972","","","","","","","","","","","","","","","","US NAVY","","","","","01/02/2002"
"AKR 288","BELLATRIX","BELLATRIX (AKR 288)","(ex - SEA-LAND TRADE, AK 288)","VEHICLE CARGO SHIP","AKR 287","21504","Disposed of through Inter or Intra Agency Transfer","","10/01/2008","","","","","Nord Seebrke GMBLT","","","","","02/01/1973","","04/01/1973","","","10/01/2008","947 ft","893 ft","106 ft","106 ft","37 ft","32 ft","29692 tons","61987 tons","32295 tons","Steel hull, steel superstructure.","2","","Steam Turbines","","","","","","","ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008.","10/04/2019"
"LHA 3","BELLEAU WOOD","BELLEAU WOOD (LHA 3)","","AMPHIBIOUS ASSAULT SHIP (GENERAL PURPOSE)","LHA 1","20633","Disposed of in support of Fleet training exercise","","07/12/2006","","","","","Ingalls Shipbuilding Corp.","11/15/1969","09/23/1978","03/05/1973","","04/11/1977","10/28/2005","08/18/1978","","","10/28/2005","820 ft","778 ft","106 ft","106 ft","27 ft","27 ft","26520 tons","40257 tons","13737 tons","Steel hull, aluminum superstructure.","2","","Steam Turbines","86","871","US NAVY","","","","","07/17/2006"
"ARL 31","BELLEROPHON","BELLEROPHON (ARL 31)","(ex - LST 1132)","REPAIR SHIP, SMALL","ARL 1","58132","Disposed of by MARAD sale","","06/01/1980","","","","","","","","","","","","","","","10/01/1977","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/10/2001"
"LCS 29","BELOIT","BELOIT (LCS 29)","","LITTORAL COMBAT SHIP","LCS","20173","Under construction","","06/26/2019","","","","","Marinette Marine Corp.","09/18/2018","","07/22/2020","","","","","","","","388 ft","351 ft","58 ft","46 ft","14 ft","14 ft","2760 tons","3410 tons","650 tons","Steel hull, aluminum superstructure.","","4","Diesel - Gas Turbine","9","41","","Huntington Ingalls Incorporated","","PMS 501","","10/01/2020"
"AKR 306","BENAVIDEZ","BENAVIDEZ (AKR 306)","","VEHICLE CARGO SHIP","AKR 300","22252","Disposed of through Inter or Intra Agency Transfer","","09/22/2022","","","","","Northrop Grumman Ship Systems Avondale Operations","12/18/1998","","12/15/1999","","08/11/2001","","09/10/2003","09/10/2003","09/21/2022","09/21/2022","949 ft","889 ft","106 ft","106 ft","33 ft","37 ft","33792 tons","67513 tons","33721 tons","Steel hull, steel superstructure.","2","","Diesel Electric","13","32","","","","","","09/23/2022"
"DDG 65","BENFOLD","USS BENFOLD (DDG 65)","","GUIDED MISSILE DESTROYER","DDG 51","21940","Active, in commission","U.S. PACIFIC FLEET","03/30/1996","YOKOSUKA, JAPAN","","","Battle Force","Ingalls Shipbuilding Corp.","01/16/1991","03/30/1996","09/27/1993","","11/09/1994","","12/04/1995","","","","505 ft","466 ft","66 ft","59 ft","32 ft","22 ft","6884 tons","8960 tons","2076 tons","Steel hull, steel superstructure.","2","","Gas Turbines","26","330","US NAVY","General Dynamics Bath Iron Works","","PMS 407","","08/26/2021"
"DD 796","BENHAM","BENHAM (DD 796)","","DESTROYER","DD 448","03896","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","01/01/1974","","","","","","","","","","","","","","","01/15/1974","","","","","","","","","","","","","","","","PERU","","","","","12/28/2001"
"PG 96","BENICIA","BENICIA (PG 96)","(ex - PGM 96)","PATROL COMBATANT","PG 92","20089","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","08/30/1996","","","","","Tacoma Boatbuilding Co., Inc.","07/26/1966","04/20/1970","04/17/1968","","12/20/1969","","04/20/1970","","","08/30/1996","165 ft","154 ft","24 ft","","10 ft","","180 tons","235 tons","55 tons","All aluminum hull.","2","","Diesel","4","25","KOREA","","","","","02/06/2009"
"SSBN 640","BENJAMIN FRANKLIN","BENJAMIN FRANKLIN (SSBN 640)","","BALLISTIC MISSILE SUBMARINE (NUCLEAR-POWERED)","SSBN 640","05711","Disposed of by submarine recycling","","08/21/1995","","","","","General Dynamics Electric Boat","11/01/1962","10/22/1965","05/25/1963","","12/05/1964","11/23/1993","10/22/1965","","","11/23/1993","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","12/05/2019"
"AO 191","BENJAMIN ISHERWOOD","BENJAMIN ISHERWOOD (AO 191)","","FLEET REPLENISHMENT OILER","AO 187","21440","Disposed of by Navy title transfer to the Maritime Administration","","02/01/1999","","","James River Reserve Fleet, Fort Eustis, VA","","Sun Shipbuilding & Dry Dock Co.","05/06/1985","","07/12/1986","","08/15/1988","","","","","12/29/1997","677 ft","650 ft","97 ft","97 ft","35 ft","35 ft","9500 tons","40700 tons","31200 tons","Steel hull, steel superstructure.","2","","Diesel Engines","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","NEVER DELIVERED CONTRACT WAS TERMINATED 15 AUG 93.","08/16/2016"
"DDG 22","BENJAMIN STODDERT","BENJAMIN STODDERT (DDG 22)","","GUIDED MISSILE DESTROYER","DDG 2","04688","Disposed of by abandoning, burning, scuttling, or sinking","","02/03/2001","","","","","Puget Sound Bridge & Dredging Co.","03/25/1960","09/12/1964","06/11/1962","","01/08/1963","12/20/1991","08/28/1964","","","11/20/1992","440 ft","","","","","","3595 tons","","","Steel hull, aluminum superstructure.","2","","Steam Turbines","","","US NAVY","","","","","08/05/2004"
"DD 807","BENNER","BENNER (DD 807)","(ex - DDR 807)","DESTROYER","DD 805","03907","Disposed of, by Navy Sale","","04/01/1975","","","","","","","","","","","","","","","02/01/1974","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/17/2001"
"DD 473","BENNETT","BENNETT (DD 473)","","DESTROYER","DD 448","04473","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/01/1973","","","","","","","","","","","","","","","08/01/1973","","","","","","","","","","","","","","","","BRAZIL","","","","","12/31/2001"
"CVS 20","BENNINGTON","BENNINGTON (CVS 20)","(ex - CV 20, CVA 20)","ASW SUPPORT AIRCRAFT CARRIER","CVS 10","03322","Disposed of, by Navy Sale","","01/12/1994","","","","","Naval Shipyard New York","","08/06/1944","","","02/26/1944","","","","","09/20/1989","","","","","","","","","","","","","Steam Turbines","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/26/2002"
"DD 421","BENSON","BENSON (DD 421)","","DESTROYER","DD 421","04421","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","11/01/1974","","","","","","","","","","","","","","","11/01/1974","","","","","","","","","","","","","","","","TAIWAN","","","","","12/17/2001"
"SS 320","BERGALL","BERGALL (SS 320)","","SUBMARINE","SS 328","05420","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","02/01/1973","","","","","","","","","","","","","","","02/01/1973","","","","","","","","","","","","","","","","TURKEY","","","","","01/02/2002"
"SSN 667","BERGALL","BERGALL (SSN 667)","","SUBMARINE (NUCLEAR-POWERED)","SSN 637","05149","Disposed of by submarine recycling","","09/29/1997","","","","","General Dynamics Electric Boat","03/09/1965","06/13/1969","04/16/1966","","02/17/1968","06/06/1996","06/09/1969","","","06/06/1997","292 ft","","32 ft","","29 ft","","4007 tons","4301 tons","294 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","14","95","","","","","","12/05/2019"
"DDG 15","BERKELEY","BERKELEY (DDG 15)","","GUIDED MISSILE DESTROYER","DDG 2","04681","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","10/01/1992","","","","","New York Shipbuilding Corp.","07/21/1959","12/15/1962","08/29/1960","","07/29/1961","10/01/1992","11/30/1962","","","10/01/1992","","","","","","","","","","","","","Steam Turbines","","","GREECE","","","","","02/18/1999"
"LST 288","BERKSHIRE COUNTY","BERKSHIRE COUNTY (LST 288)","","TANK LANDING SHIP","LST 1","50288","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","11/01/1974","","","","","","","","","","","","","","","11/15/1974","","","","","","","","","","","","","","","","KOREA","","","","","12/28/2001"
"AGSS 321","BESUGO","BESUGO (AGSS 321)","","AUXILIARY RESEARCH SUBMARINE","AGSS 285","05421","Disposed of, by Navy Sale","","04/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/25/2003"
"AK 260","BETELGEUSE","BETELGEUSE (AK 260)","(ex - MCV 10)","CARGO SHIP","AK 258","01920","Disposed of by MARAD sale","","01/01/1976","","","","","","04/20/1943","","02/11/1944","","04/10/1944","","05/31/1944","","","02/01/1974","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/28/2001"
"LPR 119","BEVERLY W REID","BEVERLY W REID (LPR 119)","(ex - DE 722, APD 119)","AMPHIBIOUS TRANSPORT, SMALL","","53722","Disposed of, by Navy Sale","","08/01/1975","","","","","Consolidated Steel Corp. of Texas","06/13/1944","06/25/1945","01/05/1944","","03/04/1945","05/05/1947","06/23/1945","","","09/15/1974","306 ft","300 ft","37 ft","36 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
